feature,bin,woe,events,non_events,event_rate,points
NAME_CONTRACT_TYPE,"(0.0538, 0.0835]",0.0,24825,282686,0.0807,7
CODE_GENDER,"(0.069, 0.101]",0.0,24825,282686,0.0807,7
AMT_CREDIT,"(44999.999, 180000.0]",-0.1977,2232,30972,0.0672,7
AMT_CREDIT,"(180000.0, 254700.0]",-0.0405,2467,29254,0.0778,7
AMT_CREDIT,"(254700.0, 306306.0]",0.0179,2248,25143,0.0821,7
AMT_CREDIT,"(306306.0, 432000.0]",0.239,3081,27626,0.1003,8
AMT_CREDIT,"(432000.0, 513531.0]",0.1888,2956,27870,0.0959,8
AMT_CREDIT,"(513531.0, 604152.0]",0.292,3233,27493,0.1052,8
AMT_CREDIT,"(604152.0, 755190.0]",0.0609,2908,31158,0.0854,7
AMT_CREDIT,"(755190.0, 900000.0]",-0.142,2121,27837,0.0708,7
AMT_CREDIT,"(900000.0, 1133748.0]",-0.1724,1949,26370,0.0688,7
AMT_CREDIT,"(1133748.0, 4050000.0]",-0.445,1630,28963,0.0533,6
AMT_INCOME_TOTAL,"(25649.999, 81000.0]",0.0158,2735,30656,0.0819,7
AMT_INCOME_TOTAL,"(81000.0, 99000.0]",0.0201,2490,27790,0.0822,7
AMT_INCOME_TOTAL,"(99000.0, 112500.0]",0.0841,3218,33689,0.0872,7
AMT_INCOME_TOTAL,"(112500.0, 135000.0]",0.0549,4147,44702,0.0849,7
AMT_INCOME_TOTAL,"(135000.0, 147150.0]",0.1189,390,3943,0.09,7
AMT_INCOME_TOTAL,"(147150.0, 162000.0]",0.0742,2689,28431,0.0864,7
AMT_INCOME_TOTAL,"(162000.0, 180000.0]",0.0462,2586,28118,0.0842,7
AMT_INCOME_TOTAL,"(180000.0, 225000.0]",-0.0365,3498,41311,0.0781,7
AMT_INCOME_TOTAL,"(225000.0, 270000.0]",-0.1481,1405,18552,0.0704,7
AMT_INCOME_TOTAL,"(270000.0, 117000000.0]",-0.2949,1667,25494,0.0614,7
AMT_ANNUITY,"(1615.499, 11074.5]",-0.1382,2194,28686,0.071,8
AMT_ANNUITY,"(11074.5, 14701.5]",-0.1867,2080,28547,0.0679,8
AMT_ANNUITY,"(14701.5, 18189.0]",0.0533,2608,28155,0.0848,7
AMT_ANNUITY,"(18189.0, 21870.0]",0.08,2670,28066,0.0869,7
AMT_ANNUITY,"(21870.0, 24903.0]",0.0528,2608,28171,0.0847,7
AMT_ANNUITY,"(24903.0, 28062.0]",0.1318,2804,27986,0.0911,7
AMT_ANNUITY,"(28062.0, 32004.0]",0.2443,3094,27596,0.1008,7
AMT_ANNUITY,"(32004.0, 37516.5]",0.0688,2645,28117,0.086,7
AMT_ANNUITY,"(37516.5, 45954.0]",-0.0625,2348,28460,0.0762,7
AMT_ANNUITY,"(45954.0, 258025.5]",-0.3582,1774,28902,0.0578,8
NAME_EDUCATION_TYPE,"(0.0173, 0.0536]",-0.4411,4012,71015,0.0535,8
NAME_EDUCATION_TYPE,"(0.0536, 0.0894]",0.109,20396,208272,0.0892,7
NAME_EDUCATION_TYPE,"(0.0894, 0.109]",0.3343,417,3399,0.1093,7
NAME_INCOME_TYPE,"(0.0529, 0.0575]",-0.4133,4231,72834,0.0549,9
NAME_INCOME_TYPE,"(0.0575, 0.0748]",-0.0824,5360,66275,0.0748,8
NAME_INCOME_TYPE,"(0.0748, 0.0959]",0.1887,15226,143563,0.0959,7
NAME_INCOME_TYPE,"(0.0959, 0.33]",1.8729,8,14,0.3636,0
REGION_POPULATION_RELATIVE,"(-0.00071, 0.00663]",0.0656,2654,28304,0.0857,7
REGION_POPULATION_RELATIVE,"(0.00663, 0.00887]",0.1552,2995,29202,0.093,7
REGION_POPULATION_RELATIVE,"(0.00887, 0.0106]",-0.0486,2477,29611,0.0772,7
REGION_POPULATION_RELATIVE,"(0.0106, 0.0166]",0.01,2353,26528,0.0815,7
REGION_POPULATION_RELATIVE,"(0.0166, 0.0189]",0.172,3120,29913,0.0945,7
REGION_POPULATION_RELATIVE,"(0.0189, 0.0207]",0.1967,2908,27202,0.0966,7
REGION_POPULATION_RELATIVE,"(0.0207, 0.0252]",-0.0054,2338,26766,0.0803,7
REGION_POPULATION_RELATIVE,"(0.0252, 0.0308]",-0.084,2609,32312,0.0747,7
REGION_POPULATION_RELATIVE,"(0.0308, 0.0358]",-0.1684,2374,31991,0.0691,7
REGION_POPULATION_RELATIVE,"(0.0358, 0.0725]",-0.6082,997,20857,0.0456,7
NAME_FAMILY_STATUS,"(0.0572, 0.0756]",-0.0902,15787,196733,0.0743,7
NAME_FAMILY_STATUS,"(0.0756, 0.0819]",0.0161,1620,18152,0.0819,7
NAME_FAMILY_STATUS,"(0.0819, 0.0981]",0.2137,4457,40987,0.0981,7
NAME_FAMILY_STATUS,"(0.0981, 0.0994]",0.2291,2961,26814,0.0994,7
FLAG_EMP_PHONE,"(-0.001, 1.0]",0.0,24825,282686,0.0807,7
OWN_CAR_AGE,"(-0.001, 2.0]",0.0386,18083,198112,0.0836,7
OWN_CAR_AGE,"(2.0, 8.0]",-0.3966,1964,33251,0.0558,7
OWN_CAR_AGE,"(8.0, 14.0]",-0.017,2178,25226,0.0795,7
OWN_CAR_AGE,"(14.0, 91.0]",0.1262,2600,26097,0.0906,7
DAYS_ID_PUBLISH,"(-7197.001, -4724.0]",-0.3286,1829,28928,0.0595,8
DAYS_ID_PUBLISH,"(-4724.0, -4430.0]",-0.2898,1902,28939,0.0617,8
DAYS_ID_PUBLISH,"(-4430.0, -4172.0]",-0.2285,2008,28736,0.0653,8
DAYS_ID_PUBLISH,"(-4172.0, -3881.0]",-0.0544,2355,28315,0.0768,7
DAYS_ID_PUBLISH,"(-3881.0, -3254.0]",-0.0399,2396,28394,0.0778,7
DAYS_ID_PUBLISH,"(-3254.0, -2654.0]",0.0378,2571,28190,0.0836,7
DAYS_ID_PUBLISH,"(-2654.0, -2044.0]",0.1148,2754,27958,0.0897,7
DAYS_ID_PUBLISH,"(-2044.0, -1378.0]",0.1571,2864,27871,0.0932,7
DAYS_ID_PUBLISH,"(-1378.0, -730.0]",0.215,3021,27745,0.0982,7
DAYS_ID_PUBLISH,"(-730.0, 0.0]",0.2537,3125,27610,0.1017,7
DAYS_REGISTRATION,"(-24672.001, -9932.0]",-0.3905,1725,29028,0.0561,8
DAYS_REGISTRATION,"(-9932.0, -8230.0]",-0.2135,2037,28717,0.0662,8
DAYS_REGISTRATION,"(-8230.0, -6776.0]",-0.1157,2231,28522,0.0725,8
DAYS_REGISTRATION,"(-6776.0, -5459.0]",-0.0213,2435,28326,0.0792,7
DAYS_REGISTRATION,"(-5459.0, -4504.0]",0.0796,2670,28078,0.0868,7
DAYS_REGISTRATION,"(-4504.0, -3537.0]",0.081,2673,28070,0.0869,7
DAYS_REGISTRATION,"(-3537.0, -2540.0]",0.0814,2675,28078,0.087,7
DAYS_REGISTRATION,"(-2540.0, -1491.0]",0.0564,2617,28166,0.085,7
DAYS_REGISTRATION,"(-1491.0, -690.0]",0.1242,2780,27959,0.0904,7
DAYS_REGISTRATION,"(-690.0, 0.0]",0.2021,2982,27742,0.0971,7
REGION_RATING_CLIENT_W_CITY,"(0.999, 2.0]",-0.0771,19824,243827,0.0752,8
REGION_RATING_CLIENT_W_CITY,"(2.0, 3.0]",0.3822,5001,38859,0.114,5
OCCUPATION_TYPE,"(0.0473, 0.0621]",-0.3404,2503,40061,0.0588,9
OCCUPATION_TYPE,"(0.0621, 0.063]",-0.2664,1738,25832,0.063,9
OCCUPATION_TYPE,"(0.063, 0.0651]",-0.2317,6348,91132,0.0651,8
