feature,mean_abs_shap
EXT_SOURCES_MEAN,0.39215925
LOAN_PAYMENT_LENGTH,0.15898797
pos_avg_instalment_future,0.14514765
EXT_SOURCE_2x3,0.13182747
CODE_GENDER,0.120631084
pos_total_months,0.115559734
prev_credit_to_app_ratio,0.09422472
YEARS_EMPLOYED,0.09064761
inst_late_payment_rate,0.08594027
OWN_CAR_AGE,0.08308232
NAME_EDUCATION_TYPE,0.08304959
ORGANIZATION_TYPE,0.08283446
AMT_ANNUITY,0.07956491
NAME_FAMILY_STATUS,0.0783448
bur_most_recent_credit,0.07518231
AGE_YEARS,0.07497969
EXT_SOURCE_1,0.07253896
prev_refusal_rate,0.06944269
prev_credit_to_current,0.060105063
inst_avg_delay_1y,0.057398666
bur_debt_to_credit_ratio,0.05675879
OCCUPATION_TYPE,0.055049982
DAYS_ID_PUBLISH,0.053260136
EXT_SOURCE_1x3,0.05005451
prev_max_credit,0.048481394
FLAG_DOCUMENT_3,0.046200342
inst_max_delay_1y,0.045529723
inst_max_payment_delay,0.04533788
inst_avg_payment_diff,0.042815488
annuity_to_income,0.041500576
REGION_RATING_CLIENT_W_CITY,0.039858226
cc_avg_limit,0.039114043
bur_avg_credit,0.039053366
REGION_POPULATION_RELATIVE,0.03809368
bur_avg_months_history,0.038041882
inst_late_rate_1y,0.037601184
bur_active_ratio,0.036168605
prev_avg_down_payment,0.035804518
cc_avg_utilization_3m,0.03533074
bur_total_credit,0.034910075
EXT_SOURCE_2,0.03370721
NAME_CONTRACT_TYPE,0.033225156
debt_to_income,0.031697605
pos_avg_instalment,0.02992903
AMT_CREDIT,0.02958719
bur_avg_days_credit,0.028942406
cc_total_months,0.02842323
EXT_SOURCES_MIN,0.02571439
cc_avg_atm_drawings,0.025247227
DAYS_REGISTRATION,0.024034478
bur_avg_debt,0.023590509
EXT_SOURCE_1x2,0.022954393
prev_avg_application,0.02254445
DAYS_LAST_PHONE_CHANGE,0.022507278
AMT_REQ_CREDIT_BUREAU_QRT,0.022452127
cc_avg_payment,0.022134276
EXT_SOURCE_3,0.022083925
prev_avg_days_decision,0.022056352
credit_to_income,0.021219235
inst_avg_payment_delay,0.01984089
cc_max_utilization,0.019358734
WALLSMATERIAL_MODE,0.017933609
bur_loan_count,0.017551117
pos_loan_count,0.017094966
APARTMENTS_AVG,0.016457533
bur_debt_to_current_credit,0.01571688
prev_most_recent_app,0.015414324
YEARS_BEGINEXPLUATATION_AVG,0.0146940155
prev_avg_credit,0.014451947
cc_total_drawing_count,0.013573977
prev_revolving_loan_count,0.012702649
AMT_INCOME_TOTAL,0.012283308
prev_app_count,0.011983559
NAME_INCOME_TYPE,0.011296555
ELEVATORS_AVG,0.011176694
cc_avg_utilization_6m,0.010431172
YEARS_BUILD_AVG,0.009809113
EXT_SOURCES_STD,0.009181449
prev_approval_rate,0.008959392
ENTRANCES_AVG,0.008941744
late_payment_debt_burden,0.008890285
FLOORSMAX_AVG,0.008758565
LANDAREA_AVG,0.008418069
AMT_REQ_CREDIT_BUREAU_YEAR,0.008284619
cc_max_balance,0.007991485
LIVINGAPARTMENTS_AVG,0.0079226345
BASEMENTAREA_AVG,0.007904964
bur_avg_dpd_rate,0.007817869
TOTALAREA_MODE,0.0076268716
inst_underpayment_rate,0.006920334
bur_total_debt,0.0068667373
cc_missed_payment_rate,0.006760401
inst_loan_count,0.006623335
cc_avg_drawings,0.0065268637
pos_late_rate_6m,0.0051340554
FLAG_EMP_PHONE,0.0044710585
pos_avg_dpd,0.0043669655
NONLIVINGAREA_AVG,0.0042458544
LIVINGAREA_AVG,0.0041873227
cc_avg_balance_3m,0.004184917
cc_avg_balance_6m,0.0036912835
AMT_REQ_CREDIT_BUREAU_MON,0.0035789656
pos_late_payment_rate,0.0033375497
bur_total_dpd_months,0.0023097792
bur_avg_overdue,0.0021917347
pos_max_dpd,0.002005738
pos_max_dpd_6m,0.0013640766
bur_max_dpd_status,0.0010385449
pos_avg_dpd_6m,0.0010001229
REG_CITY_NOT_WORK_CITY,0.00083788024
EMERGENCYSTATE_MODE,0.0008185786
HOUSETYPE_MODE,0.00046406445
bur_overdue_count,0.0
DAYS_EMPLOYED_ANOMALY,0.0
